additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent,technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,price_public_total,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,public_price_per_share,document_length,word_count,diff_percent,unique_bank_count,citigroup-word-count-ratio,citi-word-count-ratio,morgan stanley-word-count-ratio,ubs-word-count-ratio,barclays-word-count-ratio,wells fargo-word-count-ratio,goldman sachs-word-count-ratio,deutsche bank-word-count-ratio,credit suisse-word-count-ratio,merrill lynch-word-count-ratio,davis polk-word-count-ratio,rbc capital-word-count-ratio,jefferies-word-count-ratio,stifel-word-count-ratio,raymond james-word-count-ratio,piper jaffray-word-count-ratio,robert w. baird-word-count-ratio,eli lilly-word-count-ratio,william blair-word-count-ratio,hill road-word-count-ratio,citigroup-log1p,citi-log1p,morgan stanley-log1p,ubs-log1p,barclays-log1p,wells fargo-log1p,goldman sachs-log1p,deutsche bank-log1p,credit suisse-log1p,merrill lynch-log1p,davis polk-log1p,rbc capital-log1p,jefferies-log1p,stifel-log1p,raymond james-log1p,piper jaffray-log1p,robert w. baird-log1p,eli lilly-log1p,william blair-log1p,hill road-log1p,unique_keyword_count,technology-word-count-ratio,software-word-count-ratio,ai-word-count-ratio,machine learning-word-count-ratio,cloud-word-count-ratio,saas-word-count-ratio,platform-word-count-ratio,digital-word-count-ratio,data-word-count-ratio,analytics-word-count-ratio,algorithm-word-count-ratio,automation-word-count-ratio,blockchain-word-count-ratio,cryptocurrency-word-count-ratio,cybersecurity-word-count-ratio,subscription-word-count-ratio,recurring-word-count-ratio,e-commerce-word-count-ratio,mobile-word-count-ratio,app-word-count-ratio,virtual-word-count-ratio,healthcare-word-count-ratio,biotech-word-count-ratio,pharmaceutical-word-count-ratio,medical-word-count-ratio,clinical-word-count-ratio,energy-word-count-ratio,renewable-word-count-ratio,solar-word-count-ratio,electric-word-count-ratio,battery-word-count-ratio,real estate-word-count-ratio,logistics-word-count-ratio,transportation-word-count-ratio,automotive-word-count-ratio,technology-log1p,software-log1p,ai-log1p,machine learning-log1p,cloud-log1p,saas-log1p,platform-log1p,digital-log1p,data-log1p,analytics-log1p,algorithm-log1p,automation-log1p,blockchain-log1p,cryptocurrency-log1p,cybersecurity-log1p,subscription-log1p,recurring-log1p,e-commerce-log1p,mobile-log1p,app-log1p,virtual-log1p,healthcare-log1p,biotech-log1p,pharmaceutical-log1p,medical-log1p,clinical-log1p,energy-log1p,renewable-log1p,solar-log1p,electric-log1p,battery-log1p,real estate-log1p,logistics-log1p,transportation-log1p,automotive-log1p,missing_financials,additional_paid_in_capital_first,additional_paid_in_capital_change,total_assets_first,total_assets_change,total_current_liabilities_first,total_current_liabilities_change,total_liabilities_first,total_liabilities_change,cash_first,cash_change,total_capitalization_first,total_capitalization_change,total_current_assets_first,total_current_assets_change,asset_to_liability_ratio,liability_to_capital_ratio,asset_to_capital_ratio,liability_to_assets_ratio,assets_to_public_price_ratio,liabilities_to_public_price_ratio,ipo_day,ipo_month,ipo_year,bank_group_0,bank_group_1,bank_group_2,bank_group_3,bank_group_4,bank_group_5,bank_group_6,bank_group_7,bank_group_8,bank_group_9,bank_group_10,bank_group_11,bank_group_12,bank_group_13,bank_group_14,bank_group_15,bank_group_16,bank_group_17,bank_group_18,bank_group_19,keyword_group_0,keyword_group_1,keyword_group_2,keyword_group_3,keyword_group_4,keyword_group_5,keyword_group_6,keyword_group_7,keyword_group_8,keyword_group_9,keyword_group_10,keyword_group_11,keyword_group_12,keyword_group_13,keyword_group_14,keyword_group_15,keyword_group_16,keyword_group_17,keyword_group_18,keyword_group_19,keyword_group_20,keyword_group_21,keyword_group_22,keyword_group_23,keyword_group_24,keyword_group_25,keyword_group_26,keyword_group_27,keyword_group_28,keyword_group_29,keyword_group_30,keyword_group_31,keyword_group_32,keyword_group_33,keyword_group_34
0.0,22499.0,0.0,523475.0,0.0,512320.0,0.0,512320.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0,1,0,19,3,42,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,4,0,18,0,0,1,0,7,0,0,1,1.0,1.0,1.0,1.0,1.0,870000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1400564,121073,0.029333333333333336,5,8.259479817961064e-06,8.259479817961064e-06,8.259479817961064e-06,8.259479817961064e-06,8.259479817961064e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.1297399089805326e-05,1.6518959635922128e-05,0.0,0.0,8.259479817961064e-06,0.0,0.00015693011654126023,2.4778439453883194e-05,0.00034689815235436474,0.0,0.0,0.0,0.0,0.0,4.1297399089805326e-05,2.4778439453883194e-05,8.259479817961064e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3037919271844257e-05,0.0,0.00014867063672329916,0.0,0.0,8.259479817961064e-06,0.0,5.781635872572745e-05,0.0,0.0,8.259479817961064e-06,1.791759469228055,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,2.995732273553991,1.3862943611198906,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,2.9444389791664403,0.0,0.0,0.6931471805599453,0.0,2.0794415416798357,0.0,0.0,0.6931471805599453,10,22499.0,0.0,523475.0,0.0,512320.0,0.0,512320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0217735009369144,0.0,0.0,0.9786904818759253,52347.5,51232.0,2,10,2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,60673.0,62610.0,0.0,151128977.0,0.0,0.0,26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,1.0,0.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1101155,89042,-0.0020512820512820513,1,0.0,0.0,0.0,1.123065519642416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.00029199703510702813,5.61532759821208e-05,0.0,0.0,3.369196558927248e-05,0.0,4.492262078569664e-05,0.00015722917274993824,0.00012353720716066574,0.0,0.0,0.0,4.492262078569664e-05,0.0,0.0,4.492262078569664e-05,6.738393117854496e-05,3.369196558927248e-05,0.00029199703510702813,0.0,0.0,1.123065519642416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123065519642416e-05,0.0,0.0,5.61532759821208e-05,3.295836866004329,1.791759469228055,0.0,0.0,1.3862943611198906,0.0,1.6094379124341003,2.70805020110221,2.4849066497880004,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,1.9459101490553132,1.3862943611198906,3.295836866004329,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.791759469228055,4,24544.0,202.79551010430248,31937.0,3.236872592917306,7391.0,14.25531051278582,112752.0,0.0,1937.0,31.32318017552917,151128977.0,0.0,0.0,0.0,1.2000940116361571,0.000746064733833274,0.0008953478193662358,0.8332680525891821,13531.3,11275.2,9,11,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4977413.0,5001957.0,103376.0,135313.0,105361.0,112752.0,0.0,112752.0,60673.0,62610.0,0.0,151128977.0,0.0,0.0,26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,1.0,0.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1101155,89042,0.0,1,0.0,0.0,0.0,1.123065519642416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.00029199703510702813,5.61532759821208e-05,0.0,0.0,3.369196558927248e-05,0.0,4.492262078569664e-05,0.00015722917274993824,0.00012353720716066574,0.0,0.0,0.0,4.492262078569664e-05,0.0,0.0,4.492262078569664e-05,6.738393117854496e-05,3.369196558927248e-05,0.00029199703510702813,0.0,0.0,1.123065519642416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123065519642416e-05,0.0,0.0,5.61532759821208e-05,3.295836866004329,1.791759469228055,0.0,0.0,1.3862943611198906,0.0,1.6094379124341003,2.70805020110221,2.4849066497880004,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,1.9459101490553132,1.3862943611198906,3.295836866004329,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.791759469228055,5,24544.0,202.79551010430248,31937.0,3.236872592917306,7391.0,14.25531051278582,112752.0,0.0,1937.0,31.32318017552917,151128977.0,0.0,0.0,0.0,1.2000940116361571,0.000746064733833274,0.0008953478193662358,0.8332680525891821,13531.3,11275.2,10,11,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
137777.0,142245.0,37028.0,102776.0,3795.0,29372.0,6716.0,41456.0,0.0,10723.0,0.0,77942.0,4130.0,43376.0,71,4,0,0,4,0,1,14,144,0,0,1,0,0,0,1,15,0,0,0,1,0,0,0,0,0,2,2,0,1,1,7,0,2,0,0.0,1.0,0.0,1.0,0.0,36000000.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2325972,90097,0.004995004995004995,4,0.0,1.109914869529507e-05,0.0,1.109914869529507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.879318956236056e-05,6.659489217177043e-05,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,1.9459101490553132,0.0,0.0,0.0,0.0,16,0.00078803955736595,4.439659478118028e-05,0.0,0.0,4.439659478118028e-05,0.0,1.109914869529507e-05,0.000155388081734131,0.0015982774121224902,0.0,0.0,1.109914869529507e-05,0.0,0.0,0.0,1.109914869529507e-05,0.00016648723042942608,0.0,0.0,0.0,1.109914869529507e-05,0.0,0.0,0.0,0.0,0.0,2.219829739059014e-05,2.219829739059014e-05,0.0,1.109914869529507e-05,1.109914869529507e-05,7.76940408670655e-05,0.0,2.219829739059014e-05,0.0,4.276666119016055,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.6931471805599453,2.70805020110221,4.976733742420574,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2.772588722239781,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,2.0794415416798357,0.0,1.0986122886681098,0.0,2,4468.0,30.8363921217547,65748.0,0.5631806290685648,25577.0,0.14837549360753802,34740.0,0.193321819228555,10723.0,0.0,77942.0,0.0,39246.0,0.10523365438516027,2.479158626013122,0.5318826819943034,1.318621539093172,0.4033626527593991,10277.6,4145.6,26,9,2013,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0
0.0,4999830.0,0.0,30000.0,0.0,6000.0,0.0,14000000.0,0.0,0.0,0.0,401024000.0,0.0,0.0,33,9,12,0,2,0,8,4,10,3,0,9,0,0,5,2,2,2,0,0,0,0,0,0,3,0,6,0,0,17,2,1,0,29,8,0.0,0.0,0.0,1.0,0.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3297190,123802,-0.0073230769230769235,1,0.0,0.0,0.0,8.07741393515452e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0002665546598600992,7.269672541639069e-05,9.692896722185425e-05,0.0,1.615482787030904e-05,0.0,6.461931148123616e-05,3.230965574061808e-05,8.07741393515452e-05,2.4232241805463562e-05,0.0,7.269672541639069e-05,0.0,0.0,4.03870696757726e-05,1.615482787030904e-05,1.615482787030904e-05,1.615482787030904e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.4232241805463562e-05,0.0,4.8464483610927125e-05,0.0,0.0,0.00013731603689762687,1.615482787030904e-05,8.07741393515452e-06,0.0,0.0002342450041194811,6.461931148123616e-05,3.5263605246161616,2.302585092994046,2.5649493574615367,0.0,1.0986122886681098,0.0,2.1972245773362196,1.6094379124341003,2.3978952727983707,1.3862943611198906,0.0,2.302585092994046,0.0,0.0,1.791759469228055,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,1.9459101490553132,0.0,0.0,2.8903717578961645,1.0986122886681098,0.6931471805599453,0.0,3.4011973816621555,2.1972245773362196,9,4999830.0,0.0,30000.0,0.0,6000.0,0.0,14000000.0,0.0,0.0,0.0,401024000.0,0.0,0.0,0.0,0.002142857142857143,0.03491062879029684,7.48084902649218e-05,466.6666666666667,3000.0,1400000.0,10,5,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1
0.0,563186.0,1562100.0,1562101.0,-118.0,2481.0,0.0,949834.0,6197.0,18419.0,0.0,1498639.0,823.0,5978.0,7,4,0,0,0,0,2,3,44,0,0,0,0,0,0,1,62,0,0,0,0,4,0,0,7,0,2,0,0,1,0,399,0,4,0,0.0,0.0,17.0,1.0,0.0,563750016.0,0.0,5.0,19.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,7314950,220244,-0.006569685593618021,6,0.0,0.0,7.718711973992481e-05,4.540418808230871e-06,0.0,8.626795735638655e-05,0.0,0.0,0.0,7.718711973992481e-05,0.0,4.540418808230871e-06,0.0,0.0,0.0,2.2702094041154357e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.8903717578961645,0.6931471805599453,0.0,2.995732273553991,0.0,0.0,0.0,2.8903717578961645,0.0,0.6931471805599453,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,13,3.17829316576161e-05,1.8161675232923484e-05,0.0,0.0,0.0,0.0,9.080837616461742e-06,1.3621256424692614e-05,0.00019977842756215832,0.0,0.0,0.0,0.0,0.0,0.0,4.540418808230871e-06,0.000281505966110314,0.0,0.0,0.0,0.0,1.8161675232923484e-05,0.0,0.0,3.17829316576161e-05,0.0,9.080837616461742e-06,0.0,0.0,4.540418808230871e-06,0.0,0.0018116271044841177,0.0,1.8161675232923484e-05,0.0,2.0794415416798357,1.6094379124341003,0.0,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,3.8066624897703196,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4.143134726391533,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,2.0794415416798357,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,5.991464547107982,0.0,1.6094379124341003,0.0,3,563186.0,0.0,1.0,1562100.0,2599.0,-0.04540207772220085,949834.0,0.0,12222.0,0.507036491572574,1498639.0,0.0,5155.0,0.15965082444228904,1.6446042150523144,0.6337977324759332,1.0423464223205188,0.6080490314006585,76200.0487804878,46333.365853658535,13,1,2011,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
816738.0,2300178.0,120893163.0,142385338.0,13670821.0,20104202.0,43264317.0,53147289.0,-1295.0,1105.0,0.0,630574.0,98837274.0,113999508.0,265,41,30,7,1,0,175,0,213,0,0,7,0,0,1,4,12,0,0,0,0,5,11,31,9,113,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,483000000.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2856914,150302,-0.0008496176720475786,4,0.0,0.0,0.0,6.653271413554044e-06,0.0,0.0,0.0,0.0,6.653271413554044e-06,0.0,0.0,0.0,0.0,6.653271413554044e-06,0.0,0.0,0.0,0.0001064523426168647,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.833213344056216,0.0,0.0,19,0.0017631169245918218,0.00027278412795571583,0.00019959814240662135,4.6572899894878315e-05,6.653271413554044e-06,0.0,0.0011643224973719578,0.0,0.0014171468110870116,0.0,0.0,4.6572899894878315e-05,0.0,0.0,6.653271413554044e-06,2.6613085654216176e-05,7.983925696264854e-05,0.0,0.0,0.0,0.0,3.3266357067770225e-05,7.31859855490945e-05,0.00020625141382017538,5.98794427219864e-05,0.000751819669731607,0.0,0.0,0.0,0.0,0.0,6.653271413554044e-06,6.653271413554044e-06,6.653271413554044e-06,0.0,5.583496308781699,3.7376696182833684,3.4339872044851463,2.0794415416798357,0.6931471805599453,0.0,5.170483995038151,0.0,5.365976015021851,0.0,0.0,2.0794415416798357,0.0,0.0,0.6931471805599453,1.6094379124341003,2.5649493574615367,0.0,0.0,0.0,0.0,1.791759469228055,2.4849066497880004,3.4657359027997265,2.302585092994046,4.736198448394496,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1,1483440.0,0.5505702960685973,21492175.0,5.624985046883342,6433381.0,2.1249823382137634,9882972.0,4.377662609992217,2400.0,-0.5395833333333333,630574.0,0.0,15162234.0,6.518648505226868,2.679070573101104,84.28398411605933,225.80274162905542,0.3732637766396987,7119266.9,2657364.45,11,12,2020,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
0.0,24623.0,0.0,302178.0,0.0,302000.0,0.0,302000.0,0.0,58175.0,0.0,0.0,0.0,58353.0,10,0,0,0,2,0,2,5,46,0,0,0,0,0,0,4,0,0,0,0,0,44,7,0,16,8,0,0,0,0,0,4,0,0,0,0.0,0.0,3.0,1.0,0.0,131000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1148704,101265,-0.000968054211035818,3,0.0,0.0,2.962524070508073e-05,9.87508023502691e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87508023502691e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9.87508023502691e-05,0.0,0.0,0.0,1.975016047005382e-05,0.0,1.975016047005382e-05,4.937540117513455e-05,0.00045425369081123786,0.0,0.0,0.0,0.0,0.0,0.0,3.950032094010764e-05,0.0,0.0,0.0,0.0,0.0,0.00043450353034118404,6.912556164518836e-05,0.0,0.00015800128376043055,7.900064188021528e-05,0.0,0.0,0.0,0.0,0.0,3.950032094010764e-05,0.0,0.0,0.0,2.3978952727983707,0.0,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,1.791759469228055,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,3.8066624897703196,2.0794415416798357,0.0,2.833213344056216,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,8,24623.0,0.0,302178.0,0.0,302000.0,0.0,302000.0,0.0,58175.0,0.0,0.0,0.0,58353.0,0.0,1.00058940397351,0.0,0.0,0.9994109432188975,30217.8,30200.0,17,2,2021,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
8262246.0,8521712.0,3898380.0,10511469.0,2182040.0,5918050.0,4508360.0,8407255.0,456547.0,2664390.0,0.0,5460946.0,1337676.0,7212208.0,91,47,0,4,6,0,468,15,238,4,1,1,1,0,3,11,11,10,36,11,1,2,0,0,4,0,3,2,1,0,0,9,1,3,0,0.0,1.0,19.0,1.0,0.0,88092104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,68.0,5041325,211568,-0.05348059875018166,7,0.0,4.726612720260153e-06,8.98056416849429e-05,4.726612720260153e-06,0.0,0.0,4.726612720260153e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.726612720260153e-06,0.0,9.453225440520306e-06,9.453225440520306e-06,0.0,0.6931471805599453,2.995732273553991,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,1.0986122886681098,26,0.0004301217575436739,0.0002221507978522272,0.0,1.890645088104061e-05,2.8359676321560917e-05,0.0,0.0022120547530817517,7.089919080390229e-05,0.0011249338274219164,1.890645088104061e-05,4.726612720260153e-06,4.726612720260153e-06,4.726612720260153e-06,0.0,1.4179838160780458e-05,5.199273992286168e-05,5.199273992286168e-05,4.7266127202601525e-05,0.0001701580579293655,5.199273992286168e-05,4.726612720260153e-06,9.453225440520306e-06,0.0,0.0,1.890645088104061e-05,0.0,1.4179838160780458e-05,9.453225440520306e-06,4.726612720260153e-06,0.0,0.0,4.2539514482341373e-05,4.726612720260153e-06,1.4179838160780458e-05,0.0,4.5217885770490405,3.871201010907891,0.0,1.6094379124341003,1.9459101490553132,0.0,6.150602768446279,2.772588722239781,5.476463551931511,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,2.4849066497880004,2.4849066497880004,2.3978952727983707,3.6109179126442243,2.4849066497880004,0.6931471805599453,1.0986122886681098,0.0,0.0,1.6094379124341003,0.0,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.0,0.0,2.302585092994046,0.6931471805599453,1.3862943611198906,0.0,1,259466.0,31.843270409225102,6613089.0,0.5894945614674171,3736010.0,0.5840562525260906,3898895.0,1.1563173668436826,2207843.0,0.20678417804164517,5460946.0,0.0,5874532.0,0.22770767101106948,1.2502854974661766,1.5395235550763549,1.924843973919537,0.7998173233446249,154580.42647058822,123636.10294117648,10,12,2020,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0
0.0,8500.0,0.0,217673.0,0.0,0.0,0.0,31182.0,0.0,216707.0,0.0,0.0,0.0,44429.0,31,0,0,0,0,0,2,0,162,0,0,0,0,0,1,4,4,0,0,13,0,58,0,43,40,478,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,159999984.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1925787,121863,0.01536983669548511,5,0.0,8.205936174228437e-06,0.0,8.205936174228437e-06,0.0,0.0,0.0,0.0,8.205936174228437e-06,0.0,0.0,0.0,0.0,8.205936174228437e-06,0.0,0.0,0.0,9.847123409074124e-05,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,12,0.00025438402140108156,0.0,0.0,0.0,0.0,0.0,1.6411872348456874e-05,0.0,0.0013293616602250069,0.0,0.0,0.0,0.0,0.0,8.205936174228437e-06,3.282374469691375e-05,3.282374469691375e-05,0.0,0.0,0.00010667717026496968,0.0,0.0004759442981052493,0.0,0.0003528552554918228,0.0003282374469691375,0.003922437491281193,0.0,0.0,0.0,0.0,0.0,8.205936174228437e-06,0.0,0.0,0.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,5.093750200806762,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,1.6094379124341003,0.0,0.0,2.6390573296152584,0.0,4.07753744390572,0.0,3.784189633918261,3.713572066704308,6.171700597410915,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,9,8500.0,0.0,217673.0,0.0,0.0,0.0,31182.0,0.0,216707.0,0.0,0.0,0.0,44429.0,0.0,6.980726059906356,0.0,0.0,0.14325157460962085,13604.5625,1948.875,1,7,2021,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
